baseYm,signguCd,signguNm,ageGrp,visitorCo,cityType
202607,35110,전북 전주시,40대,13788,일반
202607,35110,전북 전주시,50대,9785,일반
202607,35110,전북 전주시,60대 이상,6697,일반
202607,38110,경남 창원시,20대 이하,3502,일반
202607,38110,경남 창원시,20대,5163,일반
202607,38110,경남 창원시,30대,7035,일반
202607,38110,경남 창원시,40대,8837,일반
202607,38110,경남 창원시,50대,6314,일반
202607,38110,경남 창원시,60대 이상,4149,일반
202607,28110,인천 중구,20대 이하,10436,도시1
202607,28110,인천 중구,20대,24621,도시1
202607,28110,인천 중구,30대,17430,도시1
202607,28110,인천 중구,40대,8367,도시1
202607,28110,인천 중구,50대,5579,도시1
202607,28110,인천 중구,60대 이상,3567,도시1
202607,31190,경기 용인시,20대 이하,9826,도시1
202607,31190,경기 용인시,20대,22480,도시1
202607,31190,경기 용인시,30대,16293,도시1
202607,31190,경기 용인시,40대,7952,도시1
202607,31190,경기 용인시,50대,5191,도시1
202607,31190,경기 용인시,60대 이상,3258,도시1
202607,31100,경기 고양시,20대 이하,5700,일반
202607,31100,경기 고양시,20대,8350,일반
202607,31100,경기 고양시,30대,10985,일반
202607,31100,경기 고양시,40대,13641,일반
202607,31100,경기 고양시,50대,9916,일반
202607,31100,경기 고양시,60대 이상,6408,일반
202607,31240,경기 화성시,20대 이하,4992,일반
202607,31240,경기 화성시,20대,7463,일반
202607,31240,경기 화성시,30대,10078,일반
202607,31240,경기 화성시,40대,12528,일반
202607,31240,경기 화성시,50대,8827,일반
202607,31240,경기 화성시,60대 이상,6112,일반
202607,31200,경기 파주시,20대 이하,3989,도시2
202607,31200,경기 파주시,20대,6065,도시2
202607,31200,경기 파주시,30대,7920,도시2
202607,31200,경기 파주시,40대,10016,도시2
202607,31200,경기 파주시,50대,7115,도시2
202607,31200,경기 파주시,60대 이상,4895,도시2
202607,37010,경북 경주시,20대 이하,9733,도시1
202607,37010,경북 경주시,20대,22857,도시1
202607,37010,경북 경주시,30대,16242,도시1
202607,37010,경북 경주시,40대,7901,도시1
202607,37010,경북 경주시,50대,5045,도시1
202607,37010,경북 경주시,60대 이상,3222,도시1
202607,32030,강원 강릉시,20대 이하,11214,도시1
202607,32030,강원 강릉시,20대,26314,도시1
202607,32030,강원 강릉시,30대,18707,도시1
202607,32030,강원 강릉시,40대,9065,도시1
202607,32030,강원 강릉시,50대,5874,도시1
202607,32030,강원 강릉시,60대 이상,3826,도시1
202607,32040,강원 속초시,20대 이하,10441,도시1
202607,32040,강원 속초시,20대,24583,도시1
202607,32040,강원 속초시,30대,17477,도시1
202607,32040,강원 속초시,40대,8375,도시1
202607,32040,강원 속초시,50대,5617,도시1
202607,32040,강원 속초시,60대 이상,3507,도시1
202607,31370,경기 가평군,20대 이하,6176,일반
202607,31370,경기 가평군,20대,9003,일반
202607,31370,경기 가평군,30대,12061,일반
202607,31370,경기 가평군,40대,15020,일반
202607,31370,경기 가평군,50대,10635,일반
202607,31370,경기 가평군,60대 이상,7105,일반
