RNUM,PUBLISHER,COLLECTIONDB,CREATOR,TITLE,ALTERNATIVETITLE,ISSUEDDATE,MODIFIEDDATE,SUBJECT,SUBJECTKEYWORD,FORMAT,DESCRIPTION,LANGUAGE,REFERENCEIDENTIFIER,LOCALID,UCI,URL,CONTEXTNAME,REGDATE,INSERTDATE,SUBDESCRIPTION,VIEWCNT,HASPART,PERSON,RIGHTS,TEMPORALCOVERAGE,VENUE,CREATEDDATE,SUBJECTCATEGORY,SPATIAL,REFERENCE,CHARGE,AFFILIATION,STATE,CONTRIBUTOR,EXTENT,GRADE,PERIOD,TIME,TABLEOFCONTENTS,SPATIALCOVERAGE
"365","1371000","추천여행지","대한민국 정책브리핑","수선화 봄물 드는 노부부의 바다 정원, 거제 공곶이","","20220330103813","","","","","공곶이는 거제도 동남쪽에서 바다로 돌출한 지역이다. 강명식·지상악 노부부가 황무지를 개간해 반세기 넘게 농장을 가꿨다. 처음에는 귤나무를 심었으나 한파로 동사하자, 대신 수선화와 동백나무 등을 심어 오늘에 이르렀다. 봄날 공곶이의 주인공은 수선화다. 지천을 물들이는 샛노란 꽃이 푸른 바다와 어우러져 감탄을 자아낸다. 촘촘히 등을 맞대고 무리를 이루니 실로 장관이다. 수선화 재배지에 이르는 숲길도 매력적이다. 오붓하게 늘어선 아왜나무 숲길이나 돌계단을 따라 이어지는 동백나무 터널 등이 봄의 생기를 느끼기에 제격이다. 노부부의 고운 마음도 수선화 못지않다. 거제9경에 드는 공곶이는 입장료가 없다. 노부부는 일터요, 삶터를 대가 없이 개방한다. 무인 판매대의 수선화 한 송이 사서 그 마음을 품고 돌아가도 좋겠다. 공곶이 앞에 몽돌해변이 있고, 예구마을까지 남파랑길 거제 21코스로 연결된다.   옥화마을은 바다와 문어를 그린 벽화와 해안거님길(무지개바다윗길)이 아름답다. 매미성은 거제를 대표하는 SNS 인증 사진 명소로 연인들에게 인기다. 정글돔과 정글타워 등으로 구성된 거제식물원은 신상 여행지로 가족 여행객이 즐겨 찾는다.","","","146","859","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=859","","2026-06-02","2022-12-08","","2700","","","","","","2026-06-01 00:30:00","Y","09","거제시청 관광마케팅팀 055-639-4176","","","17","","","","","","","경남 거제시 일운면 와현리"
"366","1371000","추천여행지","대한민국 정책브리핑","봄내음 가득찬‘무릉도원’, 영덕복사꽃마을","","20220330103722","","","","","벚꽃이 지면 복사꽃이 핀다. 복사꽃이 울긋불긋 산천을 물들이면 가히 봄의 절정이다. 복사꽃은 화려한 색과 은은한 향기로 사람들의 넋을 쏙 빼놓는다. 오죽하면 과년한 딸이나 새색시가 봄바람 날까 봐 집 안에 복사나무를 심지 않았을까. 복사꽃 구경하기 좋은 곳이 영덕이다. 4월 초·중순이면 지품면 구릉과 오십천 일대가 온통 핑크빛으로 물들면서 무릉도원을 이룬다. 영덕의 복사꽃 나들이는 드라이브가 제격이다. 복숭아밭이 워낙 방대한 영역에 걸쳐 있기에 차를 타고 둘러봐야 한다. 내륙에서 영덕으로 들어오는 관문인 황장재를 출발점 삼아 지품면사무소가 있는 신안리 일대, 삼화2리 영덕복사꽃마을, 옥계계곡 따라 이어진 주응리 야산 등이 대표적 명소다. 적당한 곳에 차를 세우고 복사꽃의 아름다움에 푹 빠져보자.   영덕읍에서 북쪽으로 20분쯤 달리면 영해면 괴시리전통마을에 닿는다. 이곳은 영양 남씨 집성촌으로 다양한 한옥과 목은이색기념관을 둘러볼 수 있다. 숙소는 칠보산자연휴양림이 괜찮다. 칠보산 울창한 솔숲에 자리 잡아 쾌적하고, 전망대에서 일출을 감상할 수 있다. 영덕 오지에 들어앉은 장육사는 나옹선사가 창건한 고찰이다. 아담한 대웅전(경북유형문화재)과 호젓한 대숲이 볼만하다.","","","146","858","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=858","","2026-06-02","2022-12-08","","1016","","","","","","2026-06-01 00:30:00","Y","15","영덕군청 관광정책과 054-730-6195","","","16","","","","","","","경북 영덕군 지품면 경동로"
"367","1371000","추천여행지","대한민국 정책브리핑","불빛으로 피어나는 삶의 근기, 목포의 야경 ","","20140627153757","","","","","유달산 기슭 죽교동에는 집들이 빼곡하다. 마을에 어둠이 내리면 골목을 비추는 가로등이 켜지고, 일터에서 돌아온 사람들이 집마다 불을 밝힌다. 해무가 끼는 날이면 가로등과 창문으로 새는 불빛이 뚜렷하게 반짝이지도 않고 더 멀리 퍼지지도 않으며 마을 언저리에 번진다. 유달산에서 바라보는 죽교동 야경에 내일 다시 일터로 나갈 사람들의 근기가 서린 듯하다. 이것이 목포의 첫 번째 야경이다. 두 번째는 유달산 마당바위에서 바라보는 고하도와 목포대교 불빛이다. 세 번째는 유달산 천자총통 발포체험장에서 올려다보는 유선각 야경이다. 네 번째는 ‘춤추는 바다분수’다.  목포 야경을 즐긴 다음 날은 구 동양척식주식회사 목포지점, 구 목포 일본영사관, 경동성당, 양동교회, 목포정명여자중학교 구 선교사 사택, 목포 구 청년회관 등 목포의 역사를 간직한 문화재를 돌아본다. ","","","60","304","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=304","","2026-06-02","2022-12-08","","1963","","","","","","2026-06-01 00:30:00","Y","01","목포시 종합관광안내소 061)270-8598  ","","","15","","","","","","","전남 목포시 노적봉길"
"368","1371000","추천여행지","대한민국 정책브리핑","도시․섬․항구가 어우러진 바다의 야경, 창원시립마산문신미술관","","20140627160627","","","","","창원시는 도시 여행자에게 재미난 요소가 가득한 보물 창고다. 도시의 네온과 항구의 여유로움이 어우러진 야경이 으뜸가는 보물이다. 어둠이 드리운 하늘은 석양빛을 이고 있고, 도심에는 조명이 하나둘 켜진다. 건물 불빛 뒤로는 바다가 수줍은 듯 모습을 내보이고, 성산구 귀산동과 마산합포구 가포동을 잇는 마창대교가 위용을 드러낸다. 창원시립마산문신미술관과 추산근린공원이 포인트다. 창동예술촌에는 1970~1980년대 향수를 떠올리게 하는 골목 풍경이 숨 쉬고, 돝섬해상유원지에는 한적한 숲길 산책로가 조성되었다. 바다에서는 더위를 날려버릴 해양 레포츠 체험이 가능하고, 마산어시장과 오동동 아귀찜거리에는 싱싱한 해산물과 풍성한 먹거리가 있다. 마산의 도심과 바다가 선물하는 풍경은 여름날 항구 여행을 즐기기에 더없이 좋다. ","","","60","305","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=305","","2026-06-02","2022-12-08","","2587","","","","","","2026-06-01 00:30:00","Y","01","창원시립마산문신미술관 055)225-7181","","","17","","","","","","","경남 창원시 마산합포구 문신길 "
"369","1371000","추천여행지","대한민국 정책브리핑","‘노잼’ 아닌 ‘꿀잼’, 대전 국립중앙과학관과 넥스페리움","","20220425165525","","","","","  ‘과학의 도시’ 대전에는 과학을 흥미롭게 풀어낸 공간이 많다. 그중 단연 1순위는 국립중앙과학관이다. 주 전시관인 과학기술관을 비롯해 자연사관, 인류관, 창의나래관, 어린이과학관, 꿈아띠체험관, 천체관, 천체관측소, 미래기술관, 생물탐구관, 야외과학놀이터 등을 갖춘 우리나라 대표 과학관이다. 기초과학부터 미래 과학기술에 이르는 과학 전반을 다양한 전시와 체험으로 일반인도 알기 쉽게 소개한다. 미취학 아동은 물론 청소년까지 연령대 눈높이에 맞춘 과학 체험 공간을 운영해 아이들도 좋아한다. 과학관 내 시설은 대부분 무료지만 창의나래관과 천체관, 꿈아띠체험관은 유료로 운영한다. 관람 시간은 오전 9시 30분~오후 5시 50분(전시공간별 상이), 월요일과 1월 1일, 명절 당일에 휴관한다. 국립중앙과학관 맞은편에 2021년 문을 연 넥스페리움은 카이스트와 협력해 만든 과학관이다. 로봇, 인공지능, 우주 탐험 등과 관련한 최신 과학기술을 체험하고 배우는 기회를 제공한다.   국립중앙과학관과 넥스페리움 인근에 아이들과 방문할 만한 장소가 여럿이다. 암석과 광물, 화석 등을 통해 현재의 지구를 이해하는 지질박물관, 시대별·종류별 화폐를 만나는 화폐박물관 등이 대표적이다. 도심에 자리한 대전시민천문대는 주간에 태양, 야간에 달과 별자리, 성운 등을 관측할 수 있다.","","","147","863","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=863","","2026-06-02","2022-12-08","","1108","","","","","","2026-06-01 00:30:00","Y","04","국립중앙과학관 042-601-7979 / 넥스페리움 042-607-1620","","","06","","","","","","","대전 유성구 대덕대로(국립중앙과학관) / 유성구 엑스포로(넥스페리움)"
"370","1371000","추천여행지","대한민국 정책브리핑","지구 생물 80%는 바다에 산다, 서천 국립해양생물자원관","","20220425165609","","","","","  충남 서천에 있는 국립해양생물자원관은 잠재력이 무한한 해양생물 자원의 효율적인 보전과 국가 자산화를 목표로 2015년 개관했다. 조사와 연구, 교육 시설은 물론 7,500점이 넘는 표본으로 해양생물에 대한 궁금증을 풀어줄 ‘씨큐리움’도 갖췄다. 씨큐리움은 국내 유일한 해양생물 전문 박물관으로, 바다(Sea)와 질문(Question), 공간(Rium)을 뜻하는 단어를 조합해 지은 이름이다. 우리나라 해양생물 자원의 다양성을 상징적으로 보여주는 ‘생명의탑(Seed Bank)’은 씨큐리움의 얼굴이다. 씨큐리움은 4층까지 올라가 한 층씩 내려오는 동선으로 관람하면 된다. 4층 제1전시실은 ‘해양생물의 다양성’을 테마로 꾸몄다. 해조류&플랑크톤, 무척추동물, 어류, 포유류 존(3층)으로 구성된 이곳에서 플라스티네이션 기법으로 제작한 대형 어류 골격표본과 고래 실물 골격표본은 반드시 찾아봐야 한다. 다중 동작 인식 기술로 해양생물과 교감하는 가상 수족관 인터랙티브 미디어월도 흥미롭다.   국립해양생물자원관이 자리한 기벌포 일대가 한눈에 보이는 장항스카이워크, 옛 장항화물역을 리모델링한 복합 문화 공간 장항도시탐험역, 5대 기후대에 서식하는 동식물을 관찰하고 체험하는 국립생태원은 서천 여행에서 놓칠 수 없는 곳이다.","","","147","864","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=864","","2026-06-02","2022-12-08","","608","","","","","","2026-06-01 00:30:00","Y","10","국립해양생물자원관 041-950-0600","","","13","","","","","","","충남 서천군 장항읍 장산로101번길"
"371","1371000","추천여행지","대한민국 정책브리핑","들판에 가득한 노란 봄, 장흥 선학동유채마을","","20220330103941","","","","","선학동유채마을은 해마다 봄이면 노랗게 치장하고 상춘객과 사진작가들을 불러 모은다. 유채밭 사이로 난 길을 따라가다 보면 자그마한 원두막에 닿는다. 이곳에서 바라보는 풍경이 좋다. 노란 유채꽃 물결 너머로 쪽빛 득량만 바다가 펼쳐진다. 사진작가들도 이 풍경을 찍기 위해 이른 아침부터 자리 잡는다. 유채밭은 30~60분이면 돌아볼 수 있지만, 봄의 정취와 아름다움을 느끼기에 결코 모자람이 없다. 원두막에 가만히 앉아 노랗게 흔들리는 유채꽃을 바라보노라면 온몸에 봄이 스며드는 것 같다. 유채밭은 가을이면 메밀밭으로 변한다. 9월 말부터 메밀꽃이 피기 시작해 10월 중순에 절정을 이룬다. 선학동유채마을 가까이 영화 ‘천년학’ 세트장과 소설가 이청준 선생이 태어난 진목마을이 있으니 함께 돌아보자.   아이들과 떠난 길이라면 장흥다목적댐 물문화관에 가볼 것을 권한다. 수자원의 중요성, 물의 원리를 살펴보는 과학 놀이 등 흥미로운 체험 거리가 많다. 정남진편백숲우드랜드는 봄 숲을 만끽하기에 더할 나위 없다. 정남진전망대는 10층 높이로 장흥 앞바다는 물론, 보성과 고흥, 완도의 섬까지 그림 같은 풍광이 펼쳐진다.선학동유채마을은 해마다 봄이면 노랗게 치장하고 상춘객과 사진작가들을 불러 모은다. 유채밭 사이로 난 길을 따라가다 보면 자그마한 원두막에 닿는다. 이곳에서 바라보는 풍경이 좋다. 노란 유채꽃 물결 너머로 쪽빛 득량만 바다가 펼쳐진다. 사진작가들도 이 풍경을 찍기 위해 이른 아침부터 자리 잡는다. 유채밭은 30~60분이면 돌아볼 수 있지만, 봄의 정취와 아름다움을 느끼기에 결코 모자람이 없다. 원두막에 가만히 앉아 노랗게 흔들리는 유채꽃을 바라보노라면 온몸에 봄이 스며드는 것 같다. 유채밭은 가을이면 메밀밭으로 변한다. 9월 말부터 메밀꽃이 피기 시작해 10월 중순에 절정을 이룬다. 선학동유채마을 가까이 영화 ‘천년학’ 세트장과 소설가 이청준 선생이 태어난 진목마을이 있으니 함께 돌아보자.   아이들과 떠난 길이라면 장흥다목적댐 물문화관에 가볼 것을 권한다. 수자원의 중요성, 물의 원리를 살펴보는 과학 놀이 등 흥미로운 체험 거리가 많다. 정남진편백숲우드랜드는 봄 숲을 만끽하기에 더할 나위 없다. 정남진전망대는 10층 높이로 장흥 앞바다는 물론, 보성과 고흥, 완도의 섬까지 그림 같은 풍광이 펼쳐진다.","","","146","861","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=861","","2026-06-02","2022-12-08","","705","","","","","","2026-06-01 00:30:00","Y","14","장흥군청 문화관광과 061-860-0224","","","15","","","","","","","전남 장흥군 회진면 가학회진로"
"372","1371000","추천여행지","대한민국 정책브리핑","마치 야간 비행에 나선 비행사가 된 기분, 대구 앞산 야경","","20140627160733","","","","","대구 앞산전망대에 처음 오르는 여행자는 도시 전체가 발아래 펼쳐지는 장쾌함에 할 말을 잃는다. 멀리 흘러가는 낙동강 물결이 붉은빛으로 물들면 도시는 숨겨둔 오색 보석을 밤하늘 아래 꺼내 보인다. 시원한 바람을 맞으며 도시의 야경을 내려다보면 마치 야간 비행에 나선 비행사가 된 기분이다. 앞산케이블카를 타면 전망대까지 쉽게 오를 수 있다. 이월드의 83타워도 대구 시내 야경 명소다. 기차 운행이 중단되면서 버려진 철교를 새롭게 단장한 아양기찻길은 강변 야경을 즐길 수 있는 데이트 코스다. 시원한 분수 쇼가 펼쳐지는 수성유원지도 빼놓으면 서운하다. 도심 한가운데 자리 잡은 한옥 게스트하우스는 기억에 남는 대구 여행을 만들어주는 매력 만점 숙박 시설이다. ","","","60","306","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=306","","2026-06-02","2022-12-08","","1887","","","","","","2026-06-01 00:30:00","Y","04","대구광역시청 관광문화재과 053)803-6512 ","","","03","","","","","","","대구시 남구 앞산순환로 "
"373","1371000","추천여행지","대한민국 정책브리핑","600년 전 한양도성을 따라 600년 후 서울 도심을 바라보다","","20140627161047","","","","","한양도성은 북악산(백악), 낙산, 남산, 인왕산의 능선을 따라 총 18.6km에 이른다. 조선 600년 역사가 켜켜이 쌓인 도성으로, 네 산으로 오르다 보니 서울 도심의 화려한 야경을 볼 수 있는 곳이 제법 많다. 특히 흥인지문에서 혜화문으로 이어지는 한양도성 낙산 구간은 남녀노소가 쉽게 산책할 수 있으며, 낙산공원은 북악산과 북한산 능선으로 넘어가는 일몰과 서울 도심 야경을 한꺼번에 만날 수 있어 밤이 더욱 아름다운 명소다. 한여름 밤, 시원한 바람과 함께 서울 야경을 감상하며 더위를 식혀보자.  흥인지문 주변으로는 최근 개관한 동대문디자인플라자(DDP)와 쇼핑몰, 청계천 일대가 화려한 조명으로 일렁여 도심 야경의 화룡점정이 된다. 마약김밥과 빈대떡으로 유명한 광장시장, 신진시장 주변의 곱창골목과 닭한마리골목, 장충동 족발골목, 음식 특화 거리로 지정된 신당동 떡볶이골목이 가까워 맛있는 음식과 함께 술잔을 기울이며 여정을 마무리할 수 있다. ","","","60","307","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=307","","2026-06-02","2022-12-08","","1801","","","","","","2026-06-01 00:30:00","Y","01","중부공원녹지사업소 02)743-7985~6, 종로구청 관광체육과 02)2148-1864","","","01","","","","","","","서울시 종로구 낙산길"
"374","1371000","추천여행지","대한민국 정책브리핑","도보로 즐기는 신라의 여름밤, 경주역사유적지구 야경","","20140627161247","","","","","경주는 그윽한 야경을 즐기며 낭만적인 여름밤을 보내기 좋은 도시다. 어둠이 내린 월성 지구와 대릉원 지구의 고분이 달빛과 조명 아래 한층 부드러운 곡선을 드러내고, 경주 야경 여행의 하이라이트인 첨성대, 월정교, 동궁과 월지(옛 안압지)는 경관 조명을 받아 화려한 자태를 뽐낸다. 일몰 후 조명이 들어오는 8시 전후에 세 곳 모두 걸어서 둘러볼 수 있다. 문무대왕릉이 있는 경주 동해권에서는 통일신라 삼층 석탑의 시원(始原)이 된 감은사지 동․서 삼층석탑의 기품 어린 모습도 만날 수 있다. 야경 여행을 마친 뒤에는 보문관광단지의 마사지 숍에서 피로를 풀거나, 동대사거리 막창골목에서 출출한 속을 달랜다. ","","","60","308","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=308","","2026-06-02","2022-12-08","","2710","","","","","","2026-06-01 00:30:00","Y","00","경주시청 문화관광과 054)779-6078","","","00","","","","","","","경북 경주시 경주역사유적지구(월성 지구)"
"375","1371000","추천여행지","대한민국 정책브리핑","세계유산인 성곽에서 야경에 취하다, 남한산성","","20140627161432","","","","","세계유산인 남한산성은 야경 또한 탐스럽다. 한낮에 산성 주변에 흩어진 유적 사이를 걸으며 숲과 성곽 둘레길이 선사하는 여유를 만끽했다면, 해 질 무렵에는 산성에서 바라보는 밤 풍경에 취해본다. 남한산성 성곽 위에서 조망하는 서울을 아우른 야경은 시대를 넘어서는 아득한 추억을 만들어낸다. 야경을 감상하는 최고의 포인트는 서문 성곽 위다. 옛 도읍이던 서울이 옅은 어둠에서 벗어나 은은한 조명으로 뒤덮이는 변화상을 오붓하게 만날 수 있다. 서문까지 이어지는 탐방 코스는 평이해 가족 단위 여행객도 쉽게 접근할 수 있으며, 청량산을 거슬러 오른 바람도 상쾌하다. 200여 개 문화재를 품은 남한산성은 국내 11번째로 유네스코 세계유산에 등재된 문화와 역사 체험의 장이다. 행궁, 수어장대 등 유적을 구경한 뒤에는 닭죽마을에서 여름 원기를 보충하면 좋다. ","","","60","309","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=309","","2026-06-02","2022-12-08","","1949","","","","","","2026-06-01 00:30:00","Y","00","남한산성도립공원 031)743-6610","","","00","","","","","","","경기도 광주시 중부면 남한산성로 "
"376","1371000","추천여행지","대한민국 정책브리핑","책으로 꿈꾸는 도시, 파주출판도시 체험","","20140729163836","","","","","파주출판도시는 250여 개 출판 관련 업체가 모여 책을 만드는, 말 그대로 책의 도시다. 아이와 함께 이곳을 찾는다면 거대한 책 놀이터인 아시아출판문화정보센터에 들러 책의 바다에 풍덩 빠져보자. 여름방학 동안 책 만드는 전 과정을 체험하는 ‘LET’S PLAY IN THE BOOK CITY’ 프로그램을 진행한다. 가족 단위로 참가할 수 있는 이 프로그램은 7321스토어의 패브릭 독서노트 만들기(화요일), 활판공방의 《천자문》 활판인쇄로 전통 오침 제본 체험(수요일), 사계절 책 향기가 나는 집의 책 한 권이 세상에 나오기까지(목요일) 중 한 가지와 책방 탐방으로 구성된다. 아시아출판문화정보센터에서 오전 10시와 오후 2시에 출발하며, 예약제로 운영된다. 걷고 싶은 책방거리를 걷다 지치면 출판사가 운영하는 책방과 북카페, 열화당책박물관, 미메시스 아트 뮤지엄 등에 들러 잠시 더위를 잊어보자.","","","61","310","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=310","","2026-06-02","2022-12-08","","2399","","","","","","2026-06-01 00:30:00","Y","19","(사)출판도시입주기업협의회 031)955-5959","","","10","","","","","","","경기도 파주시 회동길(아시아출판문화정보센터) 외"
"377","1371000","추천여행지","대한민국 정책브리핑","석유비축기지에서 문화를 만나다, 마포 문화비축기지","","20211129112624","","","","","2002년 서울월드컵경기장은 뜨거운 열기와 함성으로 가득했다. 하지만 경기장 서쪽 매봉산 자락에 조성된 거대 산업 시설은 한일월드컵 준비 과정에 폐쇄됐다. 1976~1978년에 건설된 마포석유비축기지는 폐쇄 후 버려진 상태로 있다가, 2017년 ‘문화비축기지’로 새롭게 태어났다. 석유를 저장하던 탱크 시설(T1∼T5)은 전시와 공연이 열리는 예술 공간으로 자리 잡았고, 탱크 원형이 그대로 남은 T3를 비롯해 마포석유비축기지는 서울미래유산으로 지정됐다. T1과 T2를 해체할 때 나온 철판으로 만든 T6는 카페와 강의실, 회의실, 생태 도서관 ‘에코라운지’ 등을 갖춘 커뮤니티센터다. 문화비축기지는 과거와 현재가 공존하고, 역사와 문화가 어우러진 도심 속 생태 문화 공원이다. 문화비축기지 실내 공간 관람 시간은 오전 10시~오후 6시(월요일 휴관), 야외 공원은 상시 개방한다.   상암동 노을공원에 있는 서울특별시산악문화체험센터는 우리나라 산악 문화와 역사를 알아보고 암벽등반을 즐기는 공간으로, 어드벤처 체험이 인기다. 경의선숲길과 양화진외국인선교사묘원은 분위기가 사뭇 다르지만, 차분히 산책하며 초겨울 정취를 맛보기 적당하다.","","","143","839","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=839","","2026-06-02","2022-12-08","","1288","","","","","","2026-06-01 00:30:00","Y","14","마포구청 관광기획팀 02-3153-8655","","","01","","","","","","","서울 마포구 증산로"
"378","1371000","추천여행지","대한민국 정책브리핑","폐광에서 피어나는 예술의 향기, 정선 삼탄아트마인","","20211129112706","","","",""," 한때는 기계 소리 가득한 산업 현장이었다. 당시 이름은 삼척탄좌 정암광업소. 1964년 문을 연 뒤 수십 년 동안 광부들의 피땀으로 대한민국의 고도성장을 이끌었다. 하지만 정부의 석탄 산업 합리화 정책으로 생산량이 감소하다, 2001년 결국 문을 닫고 말았다. 2013년 옛 삼척탄좌 정암광업소가 150여 개국에서 수집한 예술품 10만여 점을 갖춘 복합 문화 예술 단지 ‘삼탄아트마인(samtan art mine)’으로 다시 태어났다. 종전 산업 시설은 그대로 살리면서 예술의 향기를 입힌 독특한 디자인 콘셉트로 그해 ‘대한민국 공공디자인 대상’을 받았고, 2015년 문화체육관광부와 한국관광공사가 선정한 ‘한국인이 꼭! 가봐야 할 한국 관광 100선’에 들었다. 삼탄아트마인 관람 시간은 오전 9시 30분~오후 5시 30분(월요일 휴관), 관람료는 어른 1만 3000원, 중·고등학생 1만 1000원, 초등학생 1만 원이다.   정선 화암동굴(천연기념물)은 일제강점기에 개발된 금광과 천연 동굴이 어우러진 곳이다. ‘금과 대자연의 만남’이란 주제로 꾸민 개방 구간에 환상적인 볼거리가 이어진다. 나전역은 예쁘기로 소문난 간이역이다. 지난해 말 ‘국내 1호 간이역 카페’가 문을 열어 많은 사람이 찾는다. 주말이면 관광객으로 붐비는 정선아리랑시장에서 곤드레, 황기, 더덕, 감자 등 특산물을 살 수 있다.","","","143","840","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=840","","2026-06-02","2022-12-08","","872","","","","","","2026-06-01 00:30:00","Y","12","삼탄아트마인 033-591-3001","","","11","","","","","","","강원 정선군 고한읍 함백산로"
"379","1371000","추천여행지","대한민국 정책브리핑","폐광에서 신비로운 동굴 여행지로, 충주 활옥동굴","","20211129112744","","","","","  충주호 변에 있는 활옥동굴은 1900년 발견되고 일제강점기에 개발을 시작한 국내 유일의 백옥·활석·백운석 광산이다. 한때 8000여 명이 일하던 이곳은 값싼 중국산 활석이 수입되면서 폐광했다. 방치된 활옥동굴이 지난 2019년 동굴 테마파크로 다시 태어났다. 갱도 2.5km 구간에 각종 빛 조형물을 설치하고, 공연장과 건강테라피존 등을 마련했다. 동굴에는 활석을 채취할 때 사용하던 권양기도 그대로 있다. 미래 세계를 다룬 애니메이션에 등장하는 기계장치처럼 생겼는데, 원통형 몸체에 쇠줄을 감아 물건을 끌어 올린다. 동굴 여행의 하이라이트는 암반수가 고여 생긴 호수다. 동굴 안에 호수가 있다는 것도 신비로운데, 2~3인용 투명 카약을 타고 유람할 수 있다니 놀랍다. 활옥동굴 관람 시간은 오전 9시~오후 6시(월요일 휴무), 관람료는 어른 7000원, 청소년 6000원, 유아 5000원이다(투명 카약 3000원).   관아골이 자리한 성내동에는 조선 시대 충주읍성에 있던 충주목 관아 터가 남았다. 지금은 구도심이 됐지만, 낡은 건물을 리모델링한 청년 몰 ‘소소한시장’과 카페, 맛집 등이 들어서면서 또 다른 명소로 발돋움한다. 청녕헌과 제금당 등 충북유형문화재로 지정된 관아 건물이 있어, 늦가을 분위기가 근사하다. 달천 변 수주팔봉은 조선 철종이 아름다움에 반해 발 담그고 놀았다는 곳. 암벽 사이로 아찔한 출렁다리가 놓였다.","","","143","841","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=841","","2026-06-02","2022-12-08","","6214","","","","","","2026-06-01 00:30:00","Y","02","활옥동굴 043-848-0503","","","12","","","","","","","충북 충주시 목벌안길"
"380","1371000","추천여행지","대한민국 정책브리핑","산, 계곡, 농촌에서 신나게 놀자! 가평 체험 마을","","20140729164006","","","","","경기도 가평은 산, 강, 계곡을 품은 아름다운 자연과 넉넉한 인심, 신나는 체험거리 가득한 여행지다. 산내들체험마을, 초롱이둥지마을, 반딧불마을 등에 마련된 여름 프로그램은 10가지 이상. 색다른 프로그램을 기대한다면 산내들체험마을이 제격이다. 폐교된 목동초등학교를 리모델링해 짚라인, 승마, 사륜 오토바이, 물놀이 등 레저 체험을 할 수 있도록 꾸몄다. 가평군 최남단의 초롱이둥지마을에 가면 편백 숲에서 삼림욕하며 나무의 기운을 받고, 숲을 배울 수 있다. 반딧불마을에는 옥수수 따기, 쇠여물 주기, 인절미 만들기 등 다양한 농촌 체험이 준비되었다. 가평에 가면 명지계곡에서 탁족을 하며 더위를 쫓고, 쁘띠프랑스에서 유럽의 향기를 느끼며, 산속 호명호수에서 아름다운 풍경도 감상할 수 있다.","","","61","311","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=311","","2026-06-02","2022-12-08","","2508","","","","","","2026-06-01 00:30:00","Y","28","산내들체험마을 031)582-5041 초롱이둥지마을 031)584-9959 반딧불마을 031)585-8556","","","10","","","","","","","경기도 가평군 북면 가화로(산내들체험마을) 외"
"381","1371000","추천여행지","대한민국 정책브리핑","무더위마저 훌훌 날리는 완주의 체험 마을로 떠나자","","20140729164140","","","","","전북 완주군은 맑고 깨끗한 자연과 더불어 체험 활동하기 좋은 마을이 많다. 모악산 남쪽 자락에 있는 안덕마을은 자연에 머무르며 몸과 마음을 다스리는 건강·힐링 체험 마을로 유명하다. 푸른 숲으로 둘러싸인 마을에 황토방(펜션)과 토속 한증막, 힐링 어드벤처 체험장 등이 아기자기하게 들어섰다. 대승한지마을은 우리 고유의 종이인 한지를 배우고 체험하는 곳이다. 승지관에는 이곳에서 생산된 한지로 만든 전통 한지 공예품이 전시되었고, 한지 뜨기를 비롯해 다양한 한지 공예 체험 프로그램이 운영된다. 덕암에너지자립마을은 태양광을 활용한 친환경 녹색 에너지를 체험하는 공간이다. 이곳에서 30~40분 거리에는 보물급 사찰인 화암사와 비구니 사찰로 유명한 위봉사가 있다. 완주의 대표적인 관광 명소인 삼례문화예술촌과 비비정마을도 빼놓지 말고 들러보자.","","","61","312","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=312","","2026-06-02","2022-12-08","","1716","","","","","","2026-06-01 00:30:00","Y","07","완주군청 문화관광과 063)290-2613","","","14","","","","","","","전북 완주군 구이면 장파길(안덕마을) 외"
