TITLE,ISSUEDDATE,CATEGORY1,CATEGORY2,CATEGORY3,INFORMATION,TEL,OPERATINGTIME,ADDRESS,COORDINATES,RNUM
"공사이공커리","2022-11-30","음식점/유흥시설","인도아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","041-734-0420","","(32983)충청남도 논산시 중앙로 255","N36.189891, E127.099005","11"
"군스포","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1361-6899","월-금 10시-21시,토 10시-21시,일 10시-20시","(14222)경기도 광명시 오리로 928","N37.477953, E126.860215","12"
"굿갓레스토랑","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1408-7759","월-금 11시30분-21시30분,토-일 11시30분-21시30분","(11697)경기도 의정부시 시민로122번길 9-4","N37.737792, E127.048636","13"
"공스파스타","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","070-4738-0333","월-금 11시-20시,토 11시-20시","(61183)광주광역시 북구 설죽로214번길 86","N35.177723, E126.902362","14"
"공차 홍대 창전점","2022-11-30","음식점/유흥시설","동아시아음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-336-8075","월-금 11시30분-22시30분,토-일 11시30분-22시30분","(04061)서울특별시 마포구 서강로9길 60","N37.55464, E126.930527","15"
"공평주","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","053-253-4865","화-목 19시-03시,금 19시-04시,토 19시-04시,일 19시-03시","(41938)대구광역시 중구 공평로 63","N35.869713, E128.599946","16"
"공화춘","2022-11-30","음식점/유흥시설","동아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","032-765-0571","월-금 10시-21시30분,토-일 10시-21시30분","(22311)인천광역시 중구 차이나타운로 43","N37.475401, E126.619579","17"
"굿모닝 베트남","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1426-9799","화-금 11시30분-21시,토-일 11시30분-21시","(10948)경기도 파주시 혜음로 1145","N37.783296, E126.846073","18"
"굿모닝베트남 인천논현점","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","","월-금 11시-21시,토-일 11시-21시","(21653)인천광역시 남동구 논고개로123번길 17","N37.401479, E126.722931","19"
"구좌지앵","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","","월-화 11시30분-15시,금 11시30분-21시,토-일 11시30분-21시","(63364)제주특별자치도 제주시 구좌읍 종달로1길 102","N33.495329, E126.9061","20"
"곰레스토랑","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1481-0028","화-금 12시-22시30분,토-일 12시-22시30분","(51495)경상남도 창원시 성산구 마디미로22번길 12","N35.223223, E128.683483","21"
"골목카레","2022-11-30","음식점/유흥시설","인도아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","051-782-8788","월-금 11시30분-20시30분,토 11시30분-20시30분","(48054)부산광역시 해운대구 재송1로31번길 49","N35.188001, E129.124074","22"
"구르카인도레스토랑","2022-11-30","음식점/유흥시설","인도아시아음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-775-8860","월-금 10시30분-22시,토-일 10시30분-22시","(04536)서울특별시 중구 명동10길 16-1","N37.563084, E126.985266","23"
"구름속의 산책","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","051-253-6655","월-금 11시30분-22시30분,토-일 11시30분-22시30분","(49269)부산광역시 서구 송도해변로 131","N35.077957, E129.021188","24"
"곡하노이","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1380-6628","월-금 11시-22시,토-일 11시-22시","(13506)경기도 성남시 분당구 성남대로916번길 11","N37.410849, E127.129833","25"
"곤트란쉐리에 뉴서울호텔점","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-723-0133","월-금 08시-22시,토-일 08시-22시","(04520)서울특별시 중구 세종대로22길 16","N37.567989, E126.978165","26"
"곤파치","2022-11-30","음식점/유흥시설","동아시아음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","032-507-3387","","(21394)인천광역시 부평구 시장로29번길 7","N37.49371, E126.725167","27"
"곧버거","2022-11-30","음식점/유흥시설","북미음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","","월-금 11시-21시,휴무","(03736)서울특별시 서대문구 충정로9길 10-7","N37.564718, E126.964705","28"
"골드홀릭","2022-11-30","음식점/유흥시설","동아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장가능|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","032-773-3311","월-금 11시-24시,토-일 11시-24시","(22303)인천광역시 중구 월미문화로 71","N37.472142, E126.596255","29"
"골드베트꽁","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","","","(49311)부산광역시 사하구 낙동남로 1413","N35.106574, E128.966429","30"
"골드앤씨","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","","월-금 10시-21시,토-일 10시-21시","(44780)울산광역시 남구 장생포고래로 171-1","N35.501673, E129.373137","31"
"구름파스타","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-6053-9090","월-금 11시30분-20시,토-일 11시30분-20시","(02711)서울특별시 성북구 보국문로20길 18","N37.612159, E127.009553","32"
"구봉구파스타","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","053-253-2909","","(41926)대구광역시 중구 큰장로26길 45","N35.868904, E128.580783","33"
"구름식당","2022-11-30","음식점/유흥시설","인도아시아음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1314-1844","화-금 11시30분-20시30분,토 11시30분-20시30분","(34610)대전광역시 동구 계족로 184-29","N36.331334, E127.443107","34"
"구름의집","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","","","(01018)서울특별시 강북구 4.19로 135","N37.641267, E127.001776","35"
"구세뻬","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","070-4408-9978","월-금 10시-20시,토-일 10시-18시","(13467)경기도 성남시 분당구 판교로33번길 21","N37.390681, E127.08292","36"
"구스아일랜드 브루하우스","2022-11-30","음식점/유흥시설","북미음식","","무료주차 불가|발렛주차 가능|유아의자 대여 불가|휠체어 대여 가능|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-6205-1785","월-금 11시-24시,토 10시30분-24시,일 10시30분-23시","(06251)서울특별시 강남구 역삼로 118","N37.493432, E127.03218","37"
"골목다이닝","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","070-5111-6300","월-금 11시30분-21시30분,토-일 11시30분-21시30분","(42786)대구광역시 달서구 월곡로51길 33","N35.816319, E128.5377","38"
"골든고스트","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","070-4320-7890","","(04382)서울특별시 용산구 한강대로44길 17-3","N37.530984, E126.971002","39"
"골든타이","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장가능|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1421-8089","월-금 11시-22시,토-일 11시-22시","(05628)서울특별시 송파구 위례성대로 66","N37.514709, E127.119435","40"
"굿모닝베트남 한남점","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-797-3933","월-금 11시-21시30분,토-일 11시-21시30분","(04419)서울특별시 용산구 독서당로 73","N37.534199, E127.008628","41"
"굿바이슈가베어","2022-11-30","음식점/유흥시설","북미음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1399-8914","월-금 11시-19시30분,토 11시-19시30분","(03765)서울특별시 서대문구 이화여대길 72-6","N37.559433, E126.944567","42"
"광양정쿡","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1371-4884","월-금 11시-21시,토-일 11시-21시","(57764)전라남도 광양시 순광로 466","N34.962655, E127.567935","43"
"광어공방 제주본점","2022-11-30","음식점/유흥시설","동아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1372-1511","화-금 17시-22시,토-일 17시-22시","(63088)제주특별자치도 제주시 노형6길 20","N33.480753, E126.477737","44"
"그라치에","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장가능|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","","월-금 11시-22시,토 11시-22시","(03766)서울특별시 서대문구 이화여대길 33","N37.558459, E126.945622","45"
"그라파 피자리아","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","052-256-2112","월-금 11시-21시,토 11시-21시","(44108)울산광역시 동구 남진길 50","N35.481015, E129.416238","46"
"그랑","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","051-758-1253","월-금 11시-01시,토-일 11시-01시","(48283)부산광역시 수영구 민락수변로 29","N35.15329, E129.124603","47"
"그랑드와","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","063-858-0109","월-금 10시30분-21시,토 10시30분-21시","(54645)전라북도 익산시 익산대로54길 91","N35.962695, E126.957595","48"
"그란구스또","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-556-3960","월-금 11시30분분-22시,토-일 12시-21시30분","(06186)서울특별시 강남구 삼성로 340","N37.501975, E127.05958","49"
"그란데","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1328-7692","월-금 11시-22시,토-일 11시-22시","(16889)경기도 용인시 수지구 죽전로 150-1","N37.323735, E127.124632","50"
"괴르츠","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-336-1745","월-금 11시30분-23시,토-일 11시30분-23시","(04081)서울특별시 마포구 토정로 136-13","N37.544869, E126.925819","51"
"괴짜쉐프파스타","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-6952-1282","","(05855)서울특별시 송파구 법원로4길 10","N37.482612, E127.122817","52"
"괴흐엉관","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","031-946-0506","월-금 10시-20시30분,토-일 10시-20시30분","(10929)경기도 파주시 금정24길 16-9","N37.762511, E126.773645","53"
"교동짬뽕","2022-11-30","음식점/유흥시설","동아시아음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","031-902-9892","월,목-금 11시-20시,화 11시-16시,토-일 11시-20시","(10401)경기도 고양시 일산동구 호수로 646-30","N37.659934, E126.768159","54"
"그랑블루","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","","월,수 17시-24시,목-금 12시-24시,토 12시-24시,일 12시-23시","(04344)서울특별시 용산구 회나무로13가길 40","N37.540856, E126.991772","55"
"그랑씨엘 도산점","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-548-0283","월-금 11시-22시,토-일 11시-22시","(06021)서울특별시 강남구 도산대로45길 16-6","N37.52339, E127.035837","56"
"그랑아무르","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-790-0814","휴무,토 12시-01시","(04419)서울특별시 용산구 한남대로20길 47-24","N37.535367, E127.010053","57"
"그랜드키친","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1318-5816","월-금 11시30분-21시30분,토 11시30분-21시30분","(04538)서울특별시 중구 명동길 61","N37.564295, E126.985608","58"
"구구구중국양꼬치구이","2022-11-30","음식점/유흥시설","동아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","052-227-3339","월-금 17시-02시,토 17시-02시","(44718)울산광역시 남구 왕생로46번길 9","N35.537992, E129.333224","59"
"구룡중화요리","2022-11-30","음식점/유흥시설","동아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","052-276-4477","월-금 11시-21시30분,토-일 11시-21시30분","(44720)울산광역시 남구 달삼로84번길 10","N35.535839, E129.338181","60"
"그라치에","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 있음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","070-4150-9999","월-금 11시30분-21시30분,토-일 11시30분-21시30분","(49084)부산광역시 영도구 청학동로 12","N35.089025, E129.061561","61"
"그라체나","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1428-8912","월-금 11시-22시,토 11시-22시","(03990)서울특별시 마포구 연남로 13","N37.560877, E126.92281","62"
"그라지오소","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","042-867-6879","","(35382)대전광역시 서구 관저동로73번길 15-4","N36.29843, E127.339468","63"
"공화춘 현대백화점 판교점","2022-11-30","음식점/유흥시설","동아시아음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","031-5170-1580","월-금 10시30분-21시,토-일 10시30분-21시","(13529)경기도 성남시 분당구 판교역로146번길 20","N37.392794, E127.112017","64"
"과르네리탭하우스","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-2153-0776","","(04566)서울특별시 중구 을지로 281","N37.566882, E127.00979","65"
"과카몰레 2호점","2022-11-30","음식점/유흥시설","남미음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","031-657-5998","월-금 11시-21시,토-일 11시-21시","(17973)경기도 평택시 팽성대교길 99","N36.970899, E127.040654","66"
"과카몰레 더 현대 서울","2022-11-30","음식점/유흥시설","남미음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","","","(07335)서울특별시 영등포구 여의대로 108","N37.525932, E126.928427","67"
"굿손 신용산점","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1410-3215","월-금 11시-22시,토-일 11시-22시","(04382)서울특별시 용산구 한강대로48길 17-4","N37.531472, E126.971734","68"
"굿손 일산라페스타점","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1391-1180","월,수-금 11시-21시30분,토-일 11시-21시30분","(10364)경기도 고양시 일산동구 무궁화로 39","N37.663479, E126.768484","69"
"궤도에오르다","2022-11-30","음식점/유흥시설","북미음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-446-5755","11시-24시,11시-24시","(05021)서울특별시 광진구 광나루로 416","N37.546467, E127.075582","70"
"규식당","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","070-4647-2827","월-금 17시-24시,토 17시-24시","(11455)경기도 양주시 고암길 251","N37.833907, E127.072556","71"
"그가담","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","","월,수-금 11시-15시,토-일 11시-15시","(51637)경상남도 창원시 진해구 자은로64번길 5","N35.150581, E128.708928","72"
